tsne_1,tsne_2,temp_zscore
19.209215,-17.378387,0.29938385
5.509636,8.012851,-0.54293334
17.119417,-18.025003,-0.26216096
6.641493,-2.105961,-0.82370573
38.126198,14.188619,0.018611453
24.83468,-14.429263,0.86092865
-17.448633,8.397001,0.86092865
-17.800406,6.991911,1.2352918
6.1992745,-6.03406,-1.0108874
-15.664697,11.753124,0.86092865
4.521163,-1.1779866,-0.59908783
5.859356,6.9172263,-0.54293334
6.2185884,-9.224474,-0.07497935
30.5516,-8.790893,-1.0108874
-32.37499,-10.254769,-2.4709039
-52.879192,4.688592,-1.0108874
7.9013453,-12.777294,-1.0108874
6.317191,-6.871156,-1.0108874
8.7792,-14.024414,-0.44934255
34.592384,0.8192258,0.20579305
-21.23552,0.4981099,1.2352918
-31.841433,-10.253296,-2.5083401
-47.639107,-2.1897385,-0.07497935
5.6509466,-6.9029446,0.11220226
10.95928,-16.508871,-1.0108874
-29.862076,-9.450782,-1.0108874
-16.515669,9.820378,0.11220226
-8.5363245,16.741938,0.86092865
-34.460747,-10.20915,-0.82370573
-38.15103,-8.953058,-0.07497935
26.572618,-13.081887,0.018611453
5.8498635,-4.1477013,0.018611453
-28.387197,-8.830029,0.11220226
-36.23166,-9.716205,-1.0108874
-1.272496,14.856644,-0.54293334
6.12769,-7.093206,-0.54293334
5.9373884,-2.2215996,0.48656544
-52.567577,3.3350618,-1.198069
4.5794067,13.851408,0.67374706
-21.75017,-1.2183945,0.86092865
2.4450576,13.734832,-0.54293334
-25.496367,-6.574701,-0.07497935
-17.698854,7.8636465,0.29938385
23.187601,-15.656362,1.4224734
-29.46916,-9.242468,-0.54293334
-2.7909846,15.588824,-1.198069
-23.00726,-3.7199862,0.074765936
-2.9935904,17.863262,-0.54293334
21.524282,-16.491081,1.609655
4.568511,-2.8112123,-0.59908783
-8.55687,16.971241,0.39297464
24.038666,-15.184678,0.018611453
-49.90737,0.6930807,0.58015627
-19.63998,3.6059613,1.0481102
-13.899091,13.880095,-1.0108874
22.253408,-16.300585,0.20579305
-30.825848,-10.267957,1.0481102
-42.524757,-6.500203,0.29938385
